transporteur,uic_origine,uic_destination,classe,profil_tarifaire,prix_minimum,prix_maximum
OUIGO,87271494,87313882,2,Tarif Normal,10,45
OUIGO,87688887,87763029,2,Tarif Normal,10,49
OUIGO,87286542,87763029,2,Tarif Normal,19,99
OUIGO,87396002,87481002,2,Tarif Normal,10,35
OUIGO,87755009,87756056,2,Tarif Normal,10,29
OUIGO,87271494,87319012,2,Tarif Normal,16,99
OUIGO,87741728,87762906,2,Tarif Normal,10,29
OUIGO,87319012,87756056,2,Tarif Normal,10,39
OUIGO,87686006,87722025,2,Tarif Normal,16,99
OUIGO,87286542,87393702,2,Tarif Normal,10,59
OUIGO,87286005,87762906,2,Tarif Normal,16,99
OUIGO,87319012,87763029,2,Tarif Normal,10,49
OUIGO,87391003,87471003,2,Tarif Normal,16,89
OUIGO,87686006,87775007,2,Tarif Normal,19,99
OUIGO,87391003,87481002,2,Tarif Normal,16,85
OUIGO,87688887,87762906,2,Tarif Normal,10,69
OUIGO,87393702,87586008,2,Tarif Normal,16,99
OUIGO,87391003,87571240,2,Tarif Normal,16,69
OUIGO,87762906,87763029,2,Tarif Normal,10,29
OUIGO,87583005,87611244,2,Tarif Normal,10,55
OUIGO,87741645,87747006,2,Tarif Normal,10,29
OUIGO,87686006,87755447,2,Tarif Normal,19,99
OUIGO,87583005,87586008,2,Tarif Normal,10,45
OUIGO,87391003,87611004,2,Tarif Normal,19,99
OUIGO,87741769,87747006,2,Tarif Normal,10,39
OUIGO,87581009,87611244,2,Tarif Normal,10,35
OUIGO,87111849,87318964,2,Tarif Normal,16,99
OUIGO,87723197,87751008,2,Tarif Normal,10,69
OUIGO,87271494,87703975,2,Tarif Normal,16,99
OUIGO,87271494,87575001,2,Tarif Normal,10,79
OUIGO,87686006,87751008,2,Tarif Normal,19,99
OUIGO,87751008,87763029,2,Tarif Normal,10,49
OUIGO,87111849,87722025,2,Tarif Normal,10,99
OUIGO,87313882,87583005,2,Tarif Normal,16,99
OUIGO,87286542,87581009,2,Tarif Normal,19,99
OUIGO,87111849,87688887,2,Tarif Normal,16,99
OUIGO,87773002,87775007,2,Tarif Normal,10,10
OUIGO,87271494,87286542,2,Tarif Normal,10,59
OUIGO,87686006,87762906,2,Tarif Normal,16,99
OUIGO,87318964,87762906,2,Tarif Normal,10,55
OUIGO,87271494,87286005,2,Tarif Normal,10,65
OUIGO,87286005,87319012,2,Tarif Normal,19,99
OUIGO,87271494,87318964,2,Tarif Normal,16,99
OUIGO,87741728,87747006,2,Tarif Normal,10,29
OUIGO,87393702,87571240,2,Tarif Normal,10,69
OUIGO,87286005,87723197,2,Tarif Normal,16,99
OUIGO,87286542,87703975,2,Tarif Normal,19,99
OUIGO,87286542,87575001,2,Tarif Normal,16,99
OUIGO,87111849,87571240,2,Tarif Normal,10,69
OUIGO,87393702,87575001,2,Tarif Normal,10,79
OUIGO,87319012,87686006,2,Tarif Normal,19,99
OUIGO,87686006,87755009,2,Tarif Normal,19,99
OUIGO,87391003,87478404,2,Tarif Normal,16,75
OUIGO,87192039,87212027,2,Tarif Normal,10,39
OUIGO,87571240,87575001,2,Tarif Normal,10,25
OUIGO,87391003,87611244,2,Tarif Normal,19,99
OUIGO,87741645,87762906,2,Tarif Normal,10,35
OUIGO,87471003,87478404,2,Tarif Normal,10,19
OUIGO,87286005,87722025,2,Tarif Normal,16,99
OUIGO,87686006,87688887,2,Tarif Normal,19,99
OUIGO,87481002,87484006,2,Tarif Normal,10,19
OUIGO,87755009,87757526,2,Tarif Normal,10,19
OUIGO,87686006,87723197,2,Tarif Normal,16,99
OUIGO,87286005,87751008,2,Tarif Normal,19,99
OUIGO,87686006,87756056,2,Tarif Normal,19,99
OUIGO,87688887,87703975,2,Tarif Normal,10,10
OUIGO,87755009,87757674,2,Tarif Normal,10,25
OUIGO,87755009,87755447,2,Tarif Normal,10,16
OUIGO,87313882,87319012,2,Tarif Normal,19,99
OUIGO,87686006,87763029,2,Tarif Normal,19,99
OUIGO,87111849,87751008,2,Tarif Normal,16,99
OUIGO,87575001,87583005,2,Tarif Normal,10,25
OUIGO,87755447,87762906,2,Tarif Normal,10,79
OUIGO,87318964,87723197,2,Tarif Normal,10,55
OUIGO,87111849,87583005,2,Tarif Normal,10,99
OUIGO,87271494,87722025,2,Tarif Normal,10,99
OUIGO,87686006,87757526,2,Tarif Normal,19,99
OUIGO,87391003,87396002,2,Tarif Normal,16,59
OUIGO,87319012,87723197,2,Tarif Normal,10,69
OUIGO,87113001,87212027,2,Tarif Normal,16,99
OUIGO,87313882,87571240,2,Tarif Normal,16,95
OUIGO,87703975,87763029,2,Tarif Normal,10,39
OUIGO,87391003,87583005,2,Tarif Normal,16,99
OUIGO,87723197,87763029,2,Tarif Normal,10,29
OUIGO,87396002,87484006,2,Tarif Normal,10,19
OUIGO,87741793,87762906,2,Tarif Normal,10,39
OUIGO,87111849,87286542,2,Tarif Normal,10,59
OUIGO,87581009,87583005,2,Tarif Normal,10,29
OUIGO,87762906,87775007,2,Tarif Normal,10,59
OUIGO,87686006,87703975,2,Tarif Normal,19,99
OUIGO,87756056,87762906,2,Tarif Normal,10,85
OUIGO,87111849,87313882,2,Tarif Normal,10,45
OUIGO,87581009,87611004,2,Tarif Normal,10,39
OUIGO,87111849,87581009,2,Tarif Normal,16,99
OUIGO,87757625,87762906,2,Tarif Normal,10,85
OUIGO TRAIN CLASSIQUE,87393009,87481002,2,Tarif Normal,10,49
OUIGO,87313882,87575001,2,Tarif Normal,16,99
OUIGO,87741793,87747006,2,Tarif Normal,10,39
OUIGO,87271494,87571240,2,Tarif Normal,10,69
OUIGO,87111849,87763029,2,Tarif Normal,16,99
OUIGO TRAIN CLASSIQUE,87393579,87396002,2,Tarif Normal,10,49
OUIGO,87393702,87583005,2,Tarif Normal,10,99
OUIGO,87757674,87762906,2,Tarif Normal,10,85
OUIGO,87286005,87318964,2,Tarif Normal,19,99
OUIGO,87271494,87581009,2,Tarif Normal,16,99
OUIGO TRAIN CLASSIQUE,87396002,87547000,2,Tarif Normal,10,49
OUIGO,87755009,87762906,2,Tarif Normal,10,69
OUIGO,87763029,87773002,2,Tarif Normal,10,49
OUIGO,87313882,87751008,2,Tarif Normal,19,99
OUIGO,87271494,87763029,2,Tarif Normal,16,99
OUIGO TRAIN CLASSIQUE,87481002,87547000,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87396002,87481002,2,Tarif Normal,10,49
OUIGO,87111849,87723197,2,Tarif Normal,10,99
OUIGO,87319012,87755009,2,Tarif Normal,10,19
OUIGO,87286542,87571240,2,Tarif Normal,16,99
OUIGO TRAIN CLASSIQUE,87547000,87571240,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87686667,87722025,2,Tarif Normal,10,49
OUIGO,87313882,87762906,2,Tarif Normal,16,99
OUIGO,87393702,87581009,2,Tarif Normal,16,99
OUIGO,87286542,87723197,2,Tarif Normal,16,99
OUIGO TRAIN CLASSIQUE,87713040,87547000,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87545244,87574004,2,Tarif Normal,10,49
OUIGO,87318964,87686006,2,Tarif Normal,19,99
OUIGO,87571240,87583005,2,Tarif Normal,10,45
OUIGO,87313882,87393702,2,Tarif Normal,10,45
OUIGO TRAIN CLASSIQUE,87681825,87713040,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87686667,87725002,2,Tarif Normal,10,49
OUIGO,87319012,87757526,2,Tarif Normal,10,35
OUIGO,87686006,87773002,2,Tarif Normal,19,99
OUIGO,87575001,87581009,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87722025,87725689,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87487603,87571240,2,Tarif Normal,10,49
OUIGO,87391003,87575001,2,Tarif Normal,16,79
OUIGO TRAIN CLASSIQUE,87396002,87686667,2,Tarif Normal,10,49
OUIGO,87686006,87757625,2,Tarif Normal,19,99
OUIGO TRAIN CLASSIQUE,87725002,87723197,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87686667,87725689,2,Tarif Normal,10,49
OUIGO,87391003,87586008,2,Tarif Normal,19,99
OUIGO TRAIN CLASSIQUE,87481002,87543017,2,Tarif Normal,10,49
OUIGO,87703975,87762906,2,Tarif Normal,10,59
OUIGO TRAIN CLASSIQUE,87725002,87725689,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87487603,87543017,2,Tarif Normal,10,49
OUIGO,87396002,87471003,2,Tarif Normal,10,39
OUIGO TRAIN CLASSIQUE,87484006,87543017,2,Tarif Normal,10,49
OUIGO,87755009,87757625,2,Tarif Normal,10,25
OUIGO TRAIN CLASSIQUE,87487603,87547000,2,Tarif Normal,10,49
TGV INOUI,71116000,87111849,2,Tarif Normal,25,123
OUIGO,87571240,87581009,2,Tarif Normal,10,59
OUIGO TRAIN CLASSIQUE,87484006,87547000,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87722025,87547000,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87394007,87396002,2,Tarif Normal,10,49
TGV INOUI,71116000,87271494,1,Tarif Normal,31,170
OUIGO,87747006,87762906,2,Tarif Normal,10,29
OUIGO TRAIN CLASSIQUE,87725002,87547000,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87396002,87484006,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87545244,87394007,2,Tarif Normal,10,49
TGV INOUI,87686006,8345013,2,Tarif Normal,25,132
OUIGO TRAIN CLASSIQUE,87484006,87574004,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87682005,87713040,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87681825,87723197,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87481002,87571240,2,Tarif Normal,10,49
TGV INOUI,87755447,8345013,2,Tarif Normal,11,24
OUIGO TRAIN CLASSIQUE,87713040,87722025,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87394007,87686667,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87481002,87487603,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87484006,87545244,2,Tarif Normal,10,49
TGV INOUI,85109,87713040,2,Tarif Normal,20,62
OUIGO TRAIN CLASSIQUE,87393579,87481002,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87484006,87487603,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87545244,87571240,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87686667,87723197,2,Tarif Normal,10,49
TGV INOUI,85109,87723197,1,Tarif Normal,29,124
OUIGO TRAIN CLASSIQUE,87394007,87481002,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87487603,87574004,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87682005,87723197,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87725689,87723197,2,Tarif Normal,10,49
TGV INOUI,85109,87725689,1,Tarif Normal,29,105
OUIGO TRAIN CLASSIQUE,87481002,87545244,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87543017,87574004,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87393009,87394007,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87545244,87396002,2,Tarif Normal,10,49
TGV INOUI,71116000,87575001,2,Tarif Normal,25,69
OUIGO TRAIN CLASSIQUE,87484006,87686667,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87713040,87723197,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87481002,87574004,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87487603,87545244,2,Tarif Normal,10,49
TGV INOUI,87212027,87111849,1,Tarif Normal,29,166
OUIGO TRAIN CLASSIQUE,87725689,87547000,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87571240,87574004,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87547000,87574004,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87543017,87547000,2,Tarif Normal,10,49
TGV INOUI,87212027,87111849,2,Tarif Réglementé,85,143
OUIGO TRAIN CLASSIQUE,87394007,87484006,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87686667,87713040,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87393579,87484006,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87713040,87725002,2,Tarif Normal,10,49
TGV INOUI,87223263,87111849,1,Tarif Réglementé,70,70
OUIGO TRAIN CLASSIQUE,87543017,87571240,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87393009,87396002,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87394007,87547000,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87722025,87725002,2,Tarif Normal,10,49
TGV INOUI,87763029,8345013,1,Tarif Normal,24,120
OUIGO TRAIN CLASSIQUE,87682005,87725002,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87393579,87394007,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87481002,87484006,2,Tarif Normal,10,49
TGV INOUI,71116000,87324095,1,Tarif Normal,29,118
TGV INOUI,71116000,87677120,2,Tarif Normal,4,4
OUIGO TRAIN CLASSIQUE,87682005,87725689,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87481002,87686667,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87681825,87725002,2,Tarif Normal,10,49
TGV INOUI,87756056,8345013,1,Tarif Normal,12,14
TGV INOUI,87473207,87111849,2,Tarif Normal,20,101
OUIGO TRAIN CLASSIQUE,87543017,87545244,2,Tarif Normal,10,49
OUIGO TRAIN CLASSIQUE,87681825,87722025,2,Tarif Normal,10,49
TGV INOUI,71116000,87271494,2,Tarif Normal,25,123
TGV INOUI,8510082,87761494,2,Tarif Normal,15,49
TGV INOUI,87319012,8345013,1,Tarif Normal,22,82
TGV INOUI,71116000,87571240,1,Tarif Normal,31,132
OUIGO TRAIN CLASSIQUE,87681825,87725689,2,Tarif Normal,10,49
TGV INOUI,71116000,87673202,1,Tarif Normal,10,32
TGV INOUI,71116000,87673400,1,Tarif Normal,12,14
TGV INOUI,87756403,8345013,1,Tarif Normal,8,9
TGV INOUI,87318964,8345013,2,Tarif Normal,20,65
OUIGO TRAIN CLASSIQUE,87682005,87722025,2,Tarif Normal,10,49
TGV INOUI,87757526,8345013,2,Tarif Normal,9,20
TGV INOUI,71116000,87677120,1,Tarif Normal,8,9
TGV INOUI,87171926,87111849,2,Tarif Normal,15,47
TGV INOUI,87686006,8345013,1,Tarif Normal,31,218
OUIGO TRAIN CLASSIQUE,87393009,87484006,2,Tarif Normal,10,49
TGV INOUI,8510082,87761494,1,Tarif Normal,17,87
TGV INOUI,71116000,87547000,1,Tarif Normal,31,199
TGV INOUI,87182063,87111849,2,Tarif Normal,20,119
TGV INOUI,87757625,8345013,1,Tarif Normal,8,24
OUIGO TRAIN CLASSIQUE,87484006,87571240,2,Tarif Normal,10,49
TGV INOUI,85109,87300863,1,Tarif Normal,17,66
TGV INOUI,71116000,87547000,2,Tarif Normal,25,123
TGV INOUI,8510082,87761007,2,Tarif Normal,15,49
TGV INOUI,85109,87318964,2,Tarif Normal,25,121
OUIGO TRAIN CLASSIQUE,87713040,87725689,2,Tarif Normal,10,49
TGV INOUI,85109,87318964,1,Tarif Normal,31,181
TGV INOUI,8510082,87765008,2,Tarif Normal,20,66
TGV INOUI,85109,87300863,2,Tarif Normal,15,42
TGV INOUI,71116000,87223263,2,Tarif Normal,30,139
TGV INOUI,71116000,87313882,1,Tarif Normal,36,201
TGV INOUI,71116000,87393702,1,Tarif Normal,31,199
TGV INOUI,85109,87751008,2,Tarif Normal,25,130
TGV INOUI,71116000,87286005,2,Tarif Normal,30,139
TGV INOUI,87147322,87111849,1,Tarif Normal,17,79
TGV INOUI,71116000,87345009,1,Tarif Normal,36,201
TGV INOUI,71116000,87673202,2,Tarif Normal,8,19
TGV INOUI,87476317,87111849,2,Tarif Normal,20,107
TGV INOUI,87545244,87111849,2,Tarif Normal,15,35
TGV INOUI,87396002,87111849,1,Tarif Réglementé,64,64
TGV INOUI,71116000,87673004,1,Tarif Normal,6,17
TGV INOUI,87755009,8345013,1,Tarif Normal,17,58
TGV INOUI,87756486,8345013,2,Tarif Normal,2,2
TGV INOUI,85109,87725689,2,Tarif Normal,25,69
TGV INOUI,87396002,87111849,2,Tarif Réglementé,42,81
TGV INOUI,71116000,87673004,2,Tarif Normal,4,10
TGV INOUI,87756403,8345013,2,Tarif Normal,3,3
TGV INOUI,87481762,87111849,2,Tarif Normal,25,91
TGV INOUI,87476317,87111849,1,Tarif Normal,26,160
TGV INOUI,71116000,87286005,1,Tarif Normal,36,201
TGV INOUI,85109,87319012,2,Tarif Normal,25,130
TGV INOUI,87757625,8345013,2,Tarif Normal,6,13
TGV INOUI,71116000,87223263,1,Tarif Normal,36,201
TGV INOUI,85109,87765008,1,Tarif Normal,31,181
TGV INOUI,87396002,87111849,1,Tarif Normal,17,93
TGV INOUI,85109,87751008,1,Tarif Normal,31,196
TGV INOUI,87396002,87111849,2,Tarif Normal,15,66
TGV INOUI,87514596,87111849,2,Tarif Normal,15,36
TGV INOUI,87615039,87111849,1,Tarif Normal,31,171
TGV INOUI,71116000,87571240,2,Tarif Normal,25,80
TGV INOUI,71116000,87111849,1,Tarif Normal,31,170
TGV INOUI,87476002,87111849,1,Tarif Normal,26,156
TGV INOUI,87318964,87111849,2,Tarif Réglementé,95,156
TGV INOUI,87481747,87111849,2,Tarif Normal,25,91
TGV INOUI,85109,87765008,2,Tarif Normal,25,121
TGV INOUI,71116000,87342014,2,Tarif Normal,30,139
TGV INOUI,87147322,87111849,2,Tarif Réglementé,41,68
TGV INOUI,87543017,87111849,2,Tarif Normal,11,44
TGV INOUI,71116000,87575001,1,Tarif Normal,29,117
TGV INOUI,87481754,87111849,1,Tarif Normal,29,151
TGV INOUI,87757674,8345013,1,Tarif Normal,7,21
TGV INOUI,87756486,8345013,1,Tarif Normal,5,6
TGV INOUI,85109,87723197,2,Tarif Normal,25,82
TGV INOUI,87147322,87111849,1,Tarif Réglementé,49,49
TGV INOUI,71116000,87581009,1,Tarif Normal,22,69
TGV INOUI,71116000,87583005,1,Tarif Normal,29,95
TGV INOUI,87481754,87111849,2,Tarif Normal,25,99
TGV INOUI,87742320,87111849,1,Tarif Réglementé,119,119
TGV INOUI,87755009,8345013,2,Tarif Normal,15,35
TGV INOUI,87171926,87111849,1,Tarif Réglementé,49,49
TGV INOUI,87755447,8345013,1,Tarif Normal,13,43
TGV INOUI,87212027,87111849,2,Tarif Normal,25,118
TGV INOUI,87746370,87111849,2,Tarif Réglementé,90,166
TGV INOUI,87223263,87111849,1,Tarif Normal,17,93
TGV INOUI,87484006,87111849,1,Tarif Réglementé,81,81
TGV INOUI,87141002,87111849,2,Tarif Normal,20,78
TGV INOUI,71116000,87391003,1,Tarif Normal,31,199
TGV INOUI,87757526,8345013,1,Tarif Normal,11,34
TGV INOUI,87765008,87111849,2,Tarif Normal,25,110
TGV INOUI,87182014,87111849,2,Tarif Normal,25,114
TGV INOUI,87478404,87111849,2,Tarif Normal,15,87
TGV INOUI,87444000,87111849,1,Tarif Normal,17,75
TGV INOUI,8510082,87761007,1,Tarif Normal,17,87
TGV INOUI,87286005,87111849,1,Tarif Réglementé,70,70
TGV INOUI,87583005,87111849,2,Tarif Normal,20,107
TGV INOUI,87478404,87111849,2,Tarif Réglementé,59,112
TGV INOUI,71116000,87393702,2,Tarif Normal,25,123
TGV INOUI,87111849,87212225,1,Tarif Normal,29,138
TGV INOUI,87111849,87271494,2,Tarif Normal,15,37
TGV INOUI,87592378,87111849,1,Tarif Normal,24,112
TGV INOUI,85109,87300822,1,Tarif Normal,11,33
TGV INOUI,87484006,87111849,1,Tarif Normal,24,125
TGV INOUI,85109,87182063,1,Tarif Normal,14,17
TGV INOUI,87677005,87111849,1,Tarif Normal,31,200
TGV INOUI,87286005,87111849,2,Tarif Réglementé,45,82
TGV INOUI,87485227,87111849,2,Tarif Normal,25,97
TGV INOUI,71116000,87584052,1,Tarif Normal,22,76
TGV INOUI,87673202,87111849,2,Tarif Normal,25,126
TGV INOUI,87111849,87313882,1,Tarif Normal,17,59
TGV INOUI,87318964,87111849,1,Tarif Réglementé,122,122
TGV INOUI,87318964,87111849,1,Tarif Normal,31,179
TGV INOUI,87762906,87111849,2,Tarif Normal,25,109
TGV INOUI,87111849,87271494,1,Tarif Réglementé,39,39
TGV INOUI,87111849,87345009,1,Tarif Normal,17,74
TGV INOUI,87319012,87111849,2,Tarif Réglementé,95,156
TGV INOUI,85109,87710731,1,Tarif Normal,22,66
TGV INOUI,87763029,8345013,2,Tarif Normal,20,72
TGV INOUI,87673400,87111849,1,Tarif Normal,31,190
TGV INOUI,87142109,87111849,1,Tarif Réglementé,84,84
TGV INOUI,87141002,87111849,1,Tarif Normal,24,118
TGV INOUI,87594002,87111849,1,Tarif Normal,29,133
TGV INOUI,87781005,87111849,2,Tarif Normal,25,131
TGV INOUI,85109,87725002,2,Tarif Normal,20,65
TGV INOUI,87481788,87111849,2,Tarif Normal,25,91
TGV INOUI,87111849,87381509,1,Tarif Normal,17,54
TGV INOUI,87742007,87111849,2,Tarif Normal,25,128
TGV INOUI,87673202,87111849,1,Tarif Normal,31,190
TGV INOUI,87713131,87111849,1,Tarif Normal,17,89
TGV INOUI,87111849,87474338,1,Tarif Normal,26,162
TGV INOUI,87481762,87111849,1,Tarif Normal,29,145
TGV INOUI,87592006,87111849,1,Tarif Normal,29,125
TGV INOUI,85109,87319012,1,Tarif Normal,31,196
TGV INOUI,87473207,87111849,1,Tarif Normal,24,154
TGV INOUI,87741009,87111849,2,Tarif Réglementé,80,139
TGV INOUI,87111849,87476606,2,Tarif Normal,20,106
TGV INOUI,87775007,87111849,1,Tarif Réglementé,120,120
TGV INOUI,87319012,87111849,1,Tarif Normal,31,179
TGV INOUI,87142109,87111849,2,Tarif Normal,20,84
TGV INOUI,87182063,87111849,1,Tarif Normal,24,173
TGV INOUI,87741306,87111849,2,Tarif Réglementé,83,147
TGV INOUI,87286005,87111849,2,Tarif Normal,15,68
TGV INOUI,87718007,87111849,2,Tarif Normal,20,87
TGV INOUI,87723197,87111849,2,Tarif Normal,25,109
TGV INOUI,87111849,87576009,1,Tarif Normal,22,86
TGV INOUI,87111849,87481705,2,Tarif Normal,25,99
TGV INOUI,87387001,87111849,2,Tarif Normal,15,38
TGV INOUI,87171926,87111849,1,Tarif Normal,17,70
TGV INOUI,87514596,87111849,1,Tarif Normal,17,54
TGV INOUI,87746370,87111849,1,Tarif Normal,31,195
TGV INOUI,87742320,87111849,2,Tarif Réglementé,85,152
TGV INOUI,87718833,87111849,2,Tarif Normal,20,86
TGV INOUI,87741306,87111849,1,Tarif Normal,31,170
TGV INOUI,87111849,87476606,1,Tarif Normal,24,161
TGV INOUI,87444877,87111849,2,Tarif Normal,20,70
TGV INOUI,87586008,87111849,1,Tarif Normal,31,200
TGV INOUI,87478404,87111849,1,Tarif Réglementé,85,85
TGV INOUI,87571216,87111849,2,Tarif Normal,15,67
TGV INOUI,87111849,87481838,1,Tarif Normal,29,144
TGV INOUI,87111849,87271494,1,Tarif Normal,17,56
TGV INOUI,87111849,87576009,2,Tarif Normal,20,64
TGV INOUI,87111849,87471003,1,Tarif Réglementé,97,97
TGV INOUI,87742320,87111849,2,Tarif Normal,25,124
TGV INOUI,87393702,87111849,1,Tarif Réglementé,39,39
TGV INOUI,87476002,87111849,2,Tarif Normal,20,104
TGV INOUI,87444000,87111849,2,Tarif Normal,15,57
TGV INOUI,87147322,87111849,2,Tarif Normal,15,47
TGV INOUI,87581009,87111849,2,Tarif Normal,25,123
TGV INOUI,87111849,87611244,2,Tarif Normal,25,124
TGV INOUI,87111849,87473009,2,Tarif Normal,20,97
TGV INOUI,87615286,87111849,1,Tarif Normal,36,180
TGV INOUI,87111849,87474098,2,Tarif Normal,20,115
TGV INOUI,87583005,87111849,1,Tarif Réglementé,103,103
TGV INOUI,87111849,87313882,2,Tarif Normal,15,48
TGV INOUI,87111849,87474155,2,Tarif Normal,20,107
TGV INOUI,87478404,87111849,1,Tarif Normal,19,133
TGV INOUI,87726000,87111849,1,Tarif Normal,31,157
TGV INOUI,87111849,87584052,2,Tarif Normal,20,102
TGV INOUI,87673400,87111849,2,Tarif Normal,25,127
TGV INOUI,87111849,87476200,1,Tarif Normal,24,156
TGV INOUI,87677005,87111849,2,Tarif Normal,25,137
TGV INOUI,87171926,87111849,2,Tarif Réglementé,35,61
TGV INOUI,87474007,87111849,2,Tarif Normal,20,112
TGV INOUI,87111849,87741132,1,Tarif Normal,31,155
TGV INOUI,87741306,87111849,1,Tarif Réglementé,117,117
TGV INOUI,87713040,87111849,2,Tarif Normal,15,70
TGV INOUI,87571000,87111849,2,Tarif Normal,15,67
TGV INOUI,87111849,87300822,2,Tarif Normal,20,101
TGV INOUI,87111849,87481002,1,Tarif Normal,24,147
TGV INOUI,87485227,87111849,1,Tarif Normal,29,151
TGV INOUI,87484006,87111849,2,Tarif Normal,20,84
TGV INOUI,87281006,87111849,1,Tarif Normal,19,92
TGV INOUI,87111849,87703975,2,Tarif Réglementé,93,154
TGV INOUI,87741777,87111849,1,Tarif Normal,31,192
TGV INOUI,87111849,87571240,2,Tarif Réglementé,47,89
TGV INOUI,87111849,87741793,2,Tarif Réglementé,92,164
TGV INOUI,87393702,87111849,1,Tarif Normal,17,56
TGV INOUI,87481747,87111849,1,Tarif Normal,29,145
